credit_line,city,socioeconomic_level,housing_status,invoice_value,has_disability,age,dependents,gender,income,target,approved_limit,invoice_to_income_ratio,limit_to_income_ratio,age_group,income_category,default
8013,5030,1,2,11.068230843670063,2,22,0,2,1800000,1,14.866332532446323,6.149013719253525e-06,8.259069040765157e-06,18-25,Medio,0
8013,5001,1,1,11.151783415498729,2,32,1,1,2600000,4,0.0,4.289145817828042e-06,0.0,26-35,Muy Alto,1
8013,5837,1,1,10.705354599810317,2,33,0,1,1850009,1,0.0,5.786646882887291e-06,0.0,26-35,Medio,0
8013,5001,1,2,12.067178326660864,2,72,0,2,1500000,1,14.866332532446323,8.044780187920451e-06,9.910881747709716e-06,65+,Muy Bajo,0
8013,5001,1,2,12.11263521104315,2,22,0,1,2000000,4,0.0,6.056314577364287e-06,0.0,18-25,Medio,1
8013,5101,2,1,11.002116507732016,2,20,0,1,1200000,1,14.866332532446323,9.168422782757694e-06,1.2388600119871837e-05,18-25,Muy Bajo,0
702,68001,2,1,9.770470313426316,2,33,1,2,1550000,1,14.77102238760702,6.30352516767816e-06,9.52968571478794e-06,26-35,Bajo,0
699,68001,3,1,9.210440366976515,2,21,0,1,1400000,1,14.062371417145494,6.5788812772108845e-06,1.0044543837572612e-05,18-25,Muy Bajo,0
8013,5887,2,2,10.908594698007375,2,66,0,2,1358000,1,14.866332532446323,8.032832595857717e-06,1.0947217662171326e-05,65+,Muy Bajo,0
8082,5001,1,2,10.473081959467743,2,32,2,2,1900000,1,13.45883704259595,5.512145498590655e-06,7.083594715263808e-06,26-35,Medio,0
8013,5001,1,2,8.294299608857235,2,26,1,2,1300000,4,0.0,6.380225560485904e-06,0.0,26-35,Muy Bajo,1
8013,5837,1,1,10.281855492759924,2,27,0,1,1700000,1,14.866332532446323,6.048146732125407e-06,8.744896345617634e-06,26-35,Bajo,0
699,68575,1,1,10.312014634680112,2,31,0,2,2900000,1,14.978661680269909,3.5558658892462837e-06,5.1650539707641165e-06,26-35,Muy Alto,0
8013,5001,2,1,11.49533159656918,2,39,1,2,2000000,4,0.0,5.747662924453128e-06,0.0,36-45,Medio,1
8013,5045,1,1,10.308985993422082,2,27,0,2,1800000,4,0.0,5.7272112590060125e-06,0.0,26-35,Medio,1
8013,5837,1,1,12.53103966451663,2,30,0,1,2000000,4,0.0,6.2655166994999655e-06,0.0,26-35,Medio,1
8082,5360,2,1,12.206077645517674,2,33,1,2,2800000,1,13.815511557963774,4.359311887930638e-06,4.93410950851938e-06,26-35,Muy Alto,0
702,68081,1,1,12.463834025265951,2,25,0,2,3000000,1,14.151983508870948,4.154609956885332e-06,4.717326263848228e-06,18-25,Muy Alto,0
8013,5837,1,1,11.025083677594614,2,29,0,1,2100000,1,14.866332532446323,5.250037346455841e-06,7.079202596782727e-06,26-35,Alto,0
8013,5154,1,2,9.210440366976515,2,45,0,1,1600000,4,0.0,5.7565216315343025e-06,0.0,36-45,Bajo,1
8013,5659,1,2,12.77765370608536,2,34,0,2,4500000,4,0.0,2.8394779703571976e-06,0.0,26-35,Muy Alto,1
702,68547,3,1,12.108878692538742,2,37,0,2,1300000,1,0.0,9.314514906172181e-06,0.0,36-45,Muy Bajo,0
8082,5001,2,2,12.574185427296197,2,43,0,2,2000000,4,0.0,6.287089570103313e-06,0.0,36-45,Medio,1
8013,5837,1,1,12.26178640524857,2,23,1,1,1500000,4,0.0,8.1745188204865e-06,0.0,18-25,Muy Bajo,1
8013,5001,1,1,13.546446097229484,2,48,0,2,2200000,4,0.0,6.157472699889447e-06,0.0,46-55,Alto,1
8013,5001,1,1,12.000351439907831,2,32,2,2,2000000,4,13.815511557963774,6.000172719867555e-06,6.907752325105724e-06,26-35,Medio,1
8082,5001,2,2,10.61653539480241,2,56,0,2,1890000,1,15.1764873675101,5.617211522534861e-06,8.029883247421615e-06,56-65,Medio,0
702,68502,2,1,10.481083579935971,2,71,0,2,3300000,1,14.077875591662238,3.1760849708639396e-06,4.266021613830492e-06,65+,Muy Alto,0
8013,5088,1,1,11.353777318582678,2,32,2,2,2500000,1,14.866332532446323,4.541509110829426e-06,5.946530634366275e-06,26-35,Alto,0
8082,5001,2,1,11.8350162104899,2,26,0,1,2500000,1,15.1764873675101,4.734004590594124e-06,6.0705925187670325e-06,26-35,Alto,0
8082,5001,2,2,12.821260987319455,2,28,1,2,2130000,1,14.403297778421797,6.019368529554425e-06,6.76210845836307e-06,26-35,Alto,0
702,5079,2,1,10.98403769838583,2,19,1,2,1364000,4,0.0,8.052807658048514e-06,0.0,18-25,Muy Bajo,1
8013,5001,1,1,12.54826420985722,2,39,1,1,2800000,1,14.866332532446323,4.4815213315485315e-06,5.30940257965848e-06,36-45,Muy Alto,0
8013,5001,4,2,12.971542813248435,2,51,0,1,3700000,4,0.0,3.50582143443973e-06,0.0,46-55,Muy Alto,1
8013,5001,3,2,13.124381339947645,2,19,1,2,1400000,4,0.0,9.374551403854458e-06,0.0,18-25,Muy Bajo,1
8013,5212,2,1,12.348140622614451,2,55,0,2,2000000,1,12.765691290604371,6.174067224273613e-06,6.382842453880959e-06,46-55,Medio,0
699,68081,2,1,13.314864611686795,2,29,0,2,2500000,4,0.0,5.325943714297232e-06,0.0,26-35,Alto,1
8013,5088,1,1,11.993850488088254,2,40,0,1,1300000,4,0.0,9.226031740043473e-06,0.0,36-45,Muy Bajo,1
699,68276,1,1,12.188504220544244,2,53,0,2,2300000,1,14.978661680269909,5.299347357042125e-06,6.512458768613539e-06,46-55,Alto,0
8082,5088,3,2,12.56439722806665,2,35,0,2,1500000,4,0.0,8.376259234538277e-06,0.0,26-35,Muy Bajo,1
8013,5001,2,2,11.65554419241156,2,41,0,1,1980000,4,0.0,5.886635507967703e-06,0.0,36-45,Medio,1
8082,5001,4,2,12.611541086966117,2,63,0,2,4500000,1,13.997832948091215,2.8025640632004565e-06,3.1106288527694138e-06,56-65,Muy Alto,0
8082,5001,2,2,12.640737268042766,2,56,0,2,1900000,4,0.0,6.653016113171923e-06,0.0,56-65,Medio,1
702,68307,3,1,9.210440366976515,2,27,0,2,1600000,1,14.151983508870948,5.7565216315343025e-06,8.84498416492924e-06,26-35,Bajo,0
8082,5001,4,1,12.538457970665627,2,61,1,2,2300000,1,14.062371417145494,5.451501095288927e-06,6.114071870901575e-06,56-65,Alto,0
8013,5837,1,1,8.699681400989514,2,21,0,1,1700000,4,0.0,5.11745663737228e-06,0.0,18-25,Bajo,1
