LineaDeCredito,CiudadDeResidencia,Estrato,UstedEsArrendadorOPropietario,ValorFactura,UstedTieneAlgunaDiscapacidad,Edad,PersonasACargo,Genero,IngresoPrincipalMensual,Viabilidad,ValorCupoAprobado
699,68575,1,1,251552,2,18,0,2,1800000,4,0
8082,5001,2,2,300000,2,21,0,2,1800000,4,0
8082,5001,2,2,200000,2,36,0,2,2400000,4,1300000
8013,5360,1,1,100000,2,20,0,2,1700000,4,0
8013,5250,1,2,5000,2,39,1,2,1600000,4,0
8013,5837,1,2,20000,2,20,0,1,1500000,1,1300000
8013,5360,3,1,200000,2,37,1,1,3500000,1,2860000
8013,5045,1,1,164313,2,41,0,1,2600000,4,1300000
8013,5088,3,1,200808,2,59,1,1,1800000,4,1300000
699,68655,1,1,128481,2,57,0,2,2000000,4,0
25,17446,2,1,118441,2,30,0,2,1400000,1,2860000
8082,5001,2,2,300000,2,61,0,2,1800000,4,0
8013,5001,4,2,1511040,2,38,1,1,1800000,4,1300000
699,68406,2,1,58655,2,23,0,1,2500000,4,0
8013,5790,1,2,25000,2,21,0,1,1650000,3,0
8082,5001,3,2,148522,2,27,0,1,2100000,4,0
8013,5495,1,2,52000,2,22,1,2,1300000,1,1300000
8013,5154,1,2,100000,2,33,1,2,1600000,1,2860000
8013,5034,2,1,28000,2,18,0,2,1400000,3,0
8013,5837,1,2,30614,2,22,0,2,2000000,3,0
699,68001,6,1,158939,2,38,0,1,5000000,1,1280000
8082,5001,2,2,200000,2,31,1,2,2100000,1,10000000
8013,5360,1,1,114827,2,31,2,1,1700000,4,1300000
8082,5001,2,2,120000,2,35,0,2,1650000,4,1300000
8082,5001,1,2,80000,2,46,0,1,4000000,4,0
8013,5088,4,1,338294,2,24,1,1,1450000,4,917194
702,68276,2,1,70131,2,22,0,1,1600000,1,1280000
699,68575,1,1,67205,2,43,0,1,2000000,4,0
25,17388,3,1,64292,2,47,0,2,2000000,1,2860000
8013,5001,2,1,186543,2,62,0,1,2200000,3,0
8013,5837,2,2,269651,2,60,1,2,2000000,4,0
8082,5001,2,2,300000,2,24,0,2,2300000,1,10000000
699,68689,2,1,74061,2,46,0,2,2000000,4,0
8013,5001,1,1,93492,2,37,1,2,1350000,4,1300000
8013,5837,1,2,30000,2,24,0,2,1600000,4,0
8013,5001,1,2,166296,2,51,0,2,3000000,1,1300000
699,68406,2,1,58655,2,21,0,2,2000000,1,1400000
8013,5147,1,1,5000,2,24,1,1,1800000,4,1300000
8013,5001,2,1,240838,2,31,0,2,1400000,4,0
8082,5001,2,2,200000,2,28,1,2,1600000,4,1300000
8013,5837,1,1,5000,2,48,1,1,3500000,1,1300000
699,68679,2,1,262952,2,60,0,1,3500000,1,3900000
8013,5250,1,2,100000,2,44,2,1,3500000,1,2860000
702,68001,3,1,4,2,31,1,2,2000000,1,1280000
8082,5001,2,2,200000,2,29,1,2,3200000,4,0
8013,5001,3,1,186855,2,52,1,1,3500000,1,976033
8013,5001,2,1,229340,2,23,2,1,1400000,4,0
8013,5001,2,2,85281,2,27,1,2,5000000,1,2860000
699,20710,2,1,120364,2,28,0,1,2500000,1,1280000
8013,5250,1,1,116644,2,34,1,1,1320000,4,0
702,5615,1,2,67460,2,23,0,2,1200000,4,0
101,5059,1,1,222858,2,53,0,2,1300000,1,1280000
25,5129,3,1,9200,2,67,0,1,3150000,1,2860000
8082,5001,2,2,300000,2,58,0,2,1800000,4,0
702,5615,2,2,138499,2,39,0,1,1500000,1,2600000
8013,5250,1,2,10000,2,31,1,2,1200000,1,1300000
702,68307,3,1,199227,2,53,0,1,1400000,1,3200000
8013,5001,2,2,100000,2,21,0,2,1400000,1,1300000
8013,5001,1,1,94821,2,20,0,1,1400000,4,0
702,68276,1,1,66888,2,25,0,1,1800000,1,1280000
8013,5001,2,2,226662,2,31,0,1,3500000,4,0
8013,5001,1,2,72362,2,18,0,2,1600000,1,1300000
8082,5001,1,2,80000,2,23,2,1,1468000,1,10000000
8013,5001,2,1,774818,2,56,2,1,1350000,4,0
8082,5001,3,1,230000,2,31,0,2,1800000,4,0
8013,5001,1,2,166296,2,41,2,2,3000000,1,1300000
25,17446,2,1,118441,2,35,0,2,1100000,4,0
8082,5001,2,2,300000,2,29,0,2,1800000,4,0
101,5059,1,1,26896,2,22,0,1,1700000,4,0
702,68001,2,1,95079,2,30,0,1,1800000,4,0
8013,5001,2,1,238820,2,33,1,2,1700000,4,1300000
8013,5001,3,1,130000,2,53,0,2,1300000,1,1300000
8013,5147,1,2,74446,2,41,0,1,2400000,4,0
8013,5837,1,2,5000,2,59,0,2,2100000,4,0
8013,5615,3,2,130000,2,27,0,1,1500000,4,1300000
702,68276,3,1,52776,2,36,0,2,1500000,1,1400000
8013,5001,1,2,10000,2,42,0,2,1600000,4,1300000
8082,5001,2,2,300000,2,21,0,2,2000000,4,0
8013,5001,2,2,120000,2,28,0,1,1980000,4,0
8013,5001,2,1,150000,2,29,0,2,2500000,1,2860000
8013,5001,1,1,121550,2,19,0,1,1400000,1,2860000
8082,5001,2,2,400000,2,22,1,2,1600000,1,9394037
8013,5001,2,1,145929,2,45,1,1,1500000,4,0
8013,5001,2,2,115000,2,70,0,1,1800000,4,1300000
8013,5001,2,2,85000,2,73,2,2,1500000,4,0
8082,5001,3,2,200000,2,58,0,1,3200000,4,0
8082,5001,2,2,300000,2,22,0,2,1800000,4,16739439
8013,5001,1,2,40877,2,56,0,2,1540000,4,0
702,5615,1,1,29364,2,22,0,2,1200000,4,0
702,68001,2,1,131914,2,22,0,2,1800000,3,0
8013,5001,1,2,312604,2,56,1,1,1800000,4,10286124
8082,5088,2,2,200000,2,37,1,2,3600000,4,1300000
8013,5837,1,2,106708,2,29,1,2,2519000,1,2860000
8082,5001,1,2,134900,2,40,1,1,2600000,4,562342422
702,68001,4,1,24718,2,19,0,2,1700000,1,1800000
8013,5001,2,1,130000,2,21,0,2,2300000,1,976033
8082,5001,2,2,200000,2,39,1,2,2500000,4,6545283
8013,5088,1,1,36948,2,42,0,1,1350000,4,0
702,68001,3,2,30000,2,25,0,2,2400000,1,1280000
8082,5001,2,2,200000,2,38,1,2,3500000,4,1300000
25,66170,3,1,19394,2,43,0,2,2500000,1,2860000
8013,5001,2,1,34000,2,39,1,2,1700000,4,1300000
8082,5001,2,2,200000,2,30,1,1,3200000,4,1300000
8013,5001,1,2,39767,2,31,1,2,1500000,4,0
8082,5001,1,2,120000,2,27,0,2,2600000,4,1300000
8013,5001,2,1,118945,2,50,1,2,1800000,4,12314781
702,68001,1,2,65806,2,30,0,1,1300000,4,0
702,5615,1,1,29364,2,45,0,1,1500000,4,0
8082,5001,2,2,300000,2,32,0,2,1800000,4,1300000
8082,5001,2,2,200000,2,47,1,2,2500000,4,0
8013,5001,1,1,20000,2,47,0,1,1300000,4,1300000
8082,5001,2,2,300000,2,26,0,2,1600000,4,4599994
8013,5001,2,1,321989,2,61,0,2,1380000,4,1300000
25,17380,2,2,237673,2,58,0,2,1700000,4,0
8013,5001,1,1,25201,2,35,0,2,1350000,4,0
8082,5001,2,2,300000,2,37,0,2,1850000,4,6622283
8082,5001,2,2,200000,2,31,1,2,1800000,1,5000000
8013,5001,2,1,145929,2,44,2,2,2800000,3,0
25,17380,1,1,53209,2,25,0,2,2000000,1,2860000
8013,5495,1,2,50000,2,50,3,1,1700000,1,2860000
8013,5001,3,1,126788,2,27,0,2,1360000,4,559987
8013,5001,1,1,547000,2,40,0,1,2200000,1,1300000
8013,5250,1,2,50000,2,28,0,1,1500000,1,1300000
8082,5001,2,2,400000,2,45,0,1,1800000,1,5000000
8082,5001,2,2,160000,2,25,0,2,2700000,4,19669229
25,17380,1,1,53209,2,42,0,2,2000000,4,0
8013,5001,3,1,273200,2,30,1,2,1800000,4,5237719
699,68276,2,1,66461,2,39,0,2,2000000,1,700000
8013,5837,1,2,5000,2,43,1,1,1800000,1,1300000
699,68001,3,1,147376,2,19,0,1,2000000,4,0
8013,5001,3,1,145000,2,19,0,2,1650000,1,1300000
702,68547,2,1,108762,2,39,0,1,2500000,4,0
8082,5001,2,1,200000,2,51,0,1,2200000,1,5383632
8013,5001,1,1,121074,2,64,0,2,1900000,4,0
8082,5001,2,2,300000,2,55,0,2,1650000,4,12146318
699,68276,2,1,42109,2,28,0,2,2300000,4,0
699,68001,2,1,86955,2,60,0,1,2400000,4,0
8013,5837,1,2,123114,2,40,0,2,3000000,4,0
8013,5250,1,2,100000,2,21,0,1,1300000,4,0
8082,5001,2,2,300000,2,43,0,2,3000000,4,29788082
8188,5440,3,2,110350,2,39,2,2,5000000,4,0
25,17614,3,1,87073,2,24,1,1,2100000,1,2860000
699,68575,1,2,69650,2,63,0,2,2100000,4,0
699,68276,3,1,19337,2,50,0,2,2500000,1,4500000
702,68001,1,1,93181,2,26,1,1,1800000,1,1900000
8013,5001,3,1,241000,2,67,0,2,1350000,3,0
8013,5001,1,2,44878,2,30,0,2,1800000,1,2860000
8082,5001,2,2,200000,2,60,0,2,1400000,1,10000000
699,68276,1,1,10000,2,29,0,2,1850000,4,0
8082,5001,2,2,300000,2,31,0,1,2040000,4,0
699,68001,2,1,69840,2,25,0,2,2500000,4,0
8013,5001,1,2,4000,2,42,0,2,3100000,4,0
702,5615,1,2,366476,2,66,0,2,1600000,1,1300000
8082,5001,2,2,300000,2,18,0,1,1500000,1,8000185
8013,5490,1,2,88101,2,22,0,2,1850000,4,0
8013,5308,2,2,180000,2,38,0,1,1450000,4,1300000
101,5059,1,1,134235,2,32,0,1,1700000,1,3200000
8082,5001,2,2,300000,2,42,0,2,1800000,4,0
8013,5034,3,1,300000,2,44,0,2,1500000,4,0
8013,5847,1,1,83892,2,25,0,2,1400000,4,0
8082,5001,2,2,200000,2,55,0,2,5000000,4,0
699,68307,2,1,70029,2,28,0,1,2500000,1,1400000
25,17042,2,1,38688,2,23,2,2,1300000,4,0
8013,5790,1,1,15000,2,20,0,2,1550000,4,0
8013,5036,2,1,10000,2,26,0,2,1400000,1,1300000
8013,5059,1,1,10341,2,28,1,1,1500000,4,0
8082,5001,2,2,200000,2,49,1,2,2200000,4,0
8013,5079,2,2,100000,2,37,0,1,1600000,4,0
8082,5001,2,2,200000,2,33,1,2,2000000,4,11850995
8013,17614,1,1,121052,2,20,0,2,580000,4,0
699,20710,1,1,82067,2,27,0,2,5500000,1,1400000
8082,5660,1,2,264974,2,43,0,1,4000000,4,5000000
702,68547,3,1,220013,2,31,0,2,2200000,4,0
25,5129,1,1,16052,2,49,0,2,1400000,1,2860000
