LineaDeCredito,CiudadDeResidencia,Estrato,UstedEsArrendadorOPropietario,ValorFactura,UstedTieneAlgunaDiscapacidad,Edad,PersonasACargo,Genero,IngresoPrincipalMensual,Viabilidad,ValorCupoAprobado
8013,5030,1,2,11.068230843670063,2,22,0,2,1800000,1,14.866332532446323
8013,5001,1,1,11.151783415498729,2,32,1,1,2600000,4,0.0
8013,5837,1,1,10.705354599810317,2,33,0,1,1850009,1,0.0
8013,5001,1,2,12.067178326660864,2,72,0,2,1500000,1,14.866332532446323
8013,5001,1,2,12.11263521104315,2,22,0,1,2000000,4,0.0
8013,5101,2,1,11.002116507732017,2,20,0,1,1200000,1,14.866332532446323
702,68001,2,1,9.770470313426317,2,33,1,2,1550000,1,14.77102238760702
699,68001,3,1,9.210440366976517,2,21,0,1,1400000,1,14.062371417145494
8013,5887,2,2,10.908594698007377,2,66,0,2,1358000,1,14.866332532446323
8082,5001,1,2,10.473081959467745,2,32,2,2,1900000,1,13.45883704259595
8013,5001,1,2,8.294299608857235,2,26,1,2,1300000,4,0.0
8013,5837,1,1,10.281855492759925,2,27,0,1,1700000,1,14.866332532446323
699,68575,1,1,10.312014634680112,2,31,0,2,2900000,1,14.978661680269907
8013,5001,2,1,11.49533159656918,2,39,1,2,2000000,4,0.0
8013,5045,1,1,10.308985993422082,2,27,0,2,1800000,4,0.0
8013,5837,1,1,12.53103966451663,2,30,0,1,2000000,4,0.0
8082,5360,2,1,12.206077645517674,2,33,1,2,2800000,1,13.815511557963774
702,68081,1,1,12.463834025265951,2,25,0,2,3000000,1,14.151983508870947
8013,5837,1,1,11.025083677594614,2,29,0,1,2100000,1,14.866332532446323
8013,5154,1,2,9.210440366976517,2,45,0,1,1600000,4,0.0
8013,5659,1,2,12.77765370608536,2,34,0,2,4500000,4,0.0
702,68547,3,1,12.108878692538742,2,37,0,2,1300000,1,0.0
8082,5001,2,2,12.574185427296195,2,43,0,2,2000000,4,0.0
8013,5837,1,1,12.26178640524857,2,23,1,1,1500000,4,0.0
8013,5001,1,1,13.546446097229484,2,48,0,2,2200000,4,0.0
8013,5001,1,1,12.000351439907833,2,32,2,2,2000000,4,13.815511557963774
8082,5001,2,2,10.61653539480241,2,56,0,2,1890000,1,15.176487367510099
702,68502,2,1,10.481083579935971,2,71,0,2,3300000,1,14.077875591662238
8013,5088,1,1,11.353777318582678,2,32,2,2,2500000,1,14.866332532446323
8082,5001,2,1,11.835016210489899,2,26,0,1,2500000,1,15.176487367510099
8082,5001,2,2,12.821260987319457,2,28,1,2,2130000,1,14.403297778421795
702,5079,2,1,10.98403769838583,2,19,1,2,1364000,4,0.0
8013,5001,1,1,12.54826420985722,2,39,1,1,2800000,1,14.866332532446323
8013,5001,4,2,12.971542813248437,2,51,0,1,3700000,4,0.0
8013,5001,3,2,13.124381339947643,2,19,1,2,1400000,4,0.0
8013,5212,2,1,12.348140622614451,2,55,0,2,2000000,1,12.765691290604371
699,68081,2,1,13.314864611686795,2,29,0,2,2500000,4,0.0
8013,5088,1,1,11.993850488088254,2,40,0,1,1300000,4,0.0
699,68276,1,1,12.188504220544244,2,53,0,2,2300000,1,14.978661680269907
8082,5088,3,2,12.56439722806665,2,35,0,2,1500000,4,0.0
8013,5001,2,2,11.655544192411561,2,41,0,1,1980000,4,0.0
8082,5001,4,2,12.611541086966115,2,63,0,2,4500000,1,13.997832948091215
8082,5001,2,2,12.640737268042766,2,56,0,2,1900000,4,0.0
702,68307,3,1,9.210440366976517,2,27,0,2,1600000,1,14.151983508870947
8082,5001,4,1,12.538457970665629,2,61,1,2,2300000,1,14.062371417145494
8013,5837,1,1,8.699681400989514,2,21,0,1,1700000,4,0.0
8013,5360,3,1,13.130283926872064,2,20,0,1,1400000,4,13.592368256649284
8013,5001,2,1,12.185507627688162,2,22,0,1,2000000,1,14.866332532446323
8013,5240,1,2,12.758433609325003,2,27,0,2,1600000,1,14.866332532446323
8013,5001,1,1,9.210440366976517,2,33,1,1,1700000,1,14.914123179965662
8013,5001,2,1,11.61509389132761,2,38,1,2,1600000,4,13.815511557963774
8013,5147,1,1,11.317834728098054,2,47,0,2,1780000,1,14.866332532446323
8013,5250,1,1,11.828677367616987,2,30,1,2,1850000,4,0.0
8082,5001,1,1,12.563575746452228,2,47,0,1,1000000,4,0.0
25,66170,3,2,12.669092570381755,2,61,0,2,1350000,1,14.866332532446323
702,13873,2,1,10.13118073854891,2,36,0,2,3500000,1,14.77102238760702
8013,5250,1,2,9.90353755128617,2,58,0,2,300000,1,14.866332532446323
8082,5360,2,1,12.206077645517674,2,47,0,1,2400000,1,14.731801689838349
8013,5147,1,2,8.517393171418904,2,24,0,1,1800000,4,13.592368256649284
699,20770,1,1,11.442395698779702,2,48,1,1,2500000,1,14.062371417145494
699,68547,2,1,11.79778856785821,2,20,0,1,2300000,1,15.176487367510099
8082,5001,3,1,11.70547784132952,2,30,1,1,1900000,4,0.0
8082,5001,2,1,11.542853131211917,2,20,0,1,1400000,4,0.0
8082,5001,2,2,12.100717685412471,2,58,0,2,1736000,4,13.815511557963774
25,66687,1,1,11.118058992371832,2,43,1,2,1500000,4,0.0
8013,5250,1,2,10.819798284210286,2,44,0,2,2000000,1,14.866332532446323
702,68307,3,2,11.479658194854082,2,22,0,1,2100000,1,14.062371417145494
8013,5837,1,2,11.266794721010012,2,34,1,2,1500000,4,0.0
8013,5001,1,1,11.895654046104523,2,23,1,2,1900000,4,0.0
8013,5045,1,1,11.375925205635527,2,40,0,2,1400000,1,14.866332532446323
